figure/panel,source_file,originating_artifact,rows,git_commit,sha256
Extended Data Figure 1/a-d,SourceData_ED1_cohort_coverage.csv,artifacts/qss_v2/run_dirty_analyze.json;artifacts/qss_v3/run_prepare.json;artifacts/qss_v3/run_analyze.json;artifacts/qss_v3/run_network.json,15,1d691799c4a71f634ff65237e580d61321e72f28,55e498e10f7010f0b2072cc58dda4a501aa7d53b96efc30915ef93d0332fec51
Extended Data Figure 2/a,SourceData_ED2_propensity_bins.csv,qss_v3/routing_scores.parquet,80,1d691799c4a71f634ff65237e580d61321e72f28,d8666c4364edf6afec491e04c22b01e68f4ca072a75840bca8785ad23b95e807
"Extended Data Figure 2/b,d",SourceData_ED2_propensity_candidates.csv,results/qss_v3/propensity_candidates.csv;results/qss_v3/downstream_propensity.csv,4,1d691799c4a71f634ff65237e580d61321e72f28,04ec8a646ba0c2047b7656ccaf2f5e392b0bf1d89ae986744e6bfbf15c61f89c
Extended Data Figure 2/c,SourceData_ED2_balance.csv,results/qss_v3/balance.csv;results/qss_v3/downstream_balance.csv,57552,1d691799c4a71f634ff65237e580d61321e72f28,eef547a7b5ccfb98758413edb91fc3246accf1418ec4bdc6fbce0f9ef31df989
Extended Data Figure 3/a-d,SourceData_ED3_sensitivities.csv,results/qss_v3/dirty_estimates.csv;artifacts/qss_v3/run_analyze.json;artifacts/qss_v3/run_downstream.json;results/qss_v3/same_journal_sensitivity.csv;results/qss_v3/citation_dynamics.csv,30,1d691799c4a71f634ff65237e580d61321e72f28,65a2f2725c6def42a94a3159d6970f10c1b16c60e04a40403df19eb611c3c0a7
Extended Data Figure 4/a,SourceData_ED4_domain_labels.csv,results/qss_v3/macro_labels.csv,32,1d691799c4a71f634ff65237e580d61321e72f28,6c29f2a169ffbd792a7257ec19e9a0834890dc27fe5152bdc13c471e9ed75a52
Extended Data Figure 4/a-d,SourceData_ED4_subgroups.csv,results/qss_v3/subgroup_estimates.csv,50,1d691799c4a71f634ff65237e580d61321e72f28,89f2eed2896afb522658bb3113611c825bee154229e290d59becf5cb33a16523
Extended Data Figure 4/a-d,SourceData_ED4_tests.csv,results/qss_v3/subgroup_tests.csv,51,1d691799c4a71f634ff65237e580d61321e72f28,3b33b21cb2511b07bb13321b20748ff23a4acd6b09136f8cb5a4f362f2becd89
Figure 1/a-d,SourceData_Figure1.csv,qss_v2/journal_year_scope.parquet;artifacts/qss_v2/run_exposure.json;results/qss_v3/network_nodes.csv,269,1d691799c4a71f634ff65237e580d61321e72f28,7f7b16082c1b85aacfdb8b2a15a2d2133d778c4dc3aa36666d4fb6e0a1722a89
Figure 2/a-d,SourceData_Figure2.csv,results/qss_v3/dirty_estimates.csv,6,1d691799c4a71f634ff65237e580d61321e72f28,0c61dfecabddc18f0f414eba557927c6bad50ad782ba5c9df2c94eaf08dbacda
Figure 3/a,SourceData_Figure3_nodes.csv,results/qss_v3/network_nodes.csv,32,1d691799c4a71f634ff65237e580d61321e72f28,04530ba2014384f7bdafb1b6eff3076d476935589704320f2e254f47aeab33fe
Figure 3/a-b,SourceData_Figure3_edges.csv,results/qss_v3/network_edges.csv,1024,1d691799c4a71f634ff65237e580d61321e72f28,a1aed585ed75020aa9bf41a0284bc58cef572f62cc03f04c49cc38b5564ecfde
Figure 3/c,SourceData_Figure3_metrics.csv,results/qss_v3/network_metrics.csv,3,1d691799c4a71f634ff65237e580d61321e72f28,b66b384420bf506f8b9010e26bdd31878fc1e89d75b3cbe8f33c3b51388db596
Figure 3/d,SourceData_Figure3_lodo.csv,results/qss_v3/network_leave_one_domain_out.csv,96,1d691799c4a71f634ff65237e580d61321e72f28,9f58b28abcf7cd078d02091ecda1520dd717bf66b8eb23a296f805cb7a0b7a37
Figure 4/a,SourceData_Figure4_estimates.csv,results/qss_v3/dirty_estimates.csv,3,1d691799c4a71f634ff65237e580d61321e72f28,bf6b76aa67f2b5823455168e4751a42ce0514337d9d2ddf818e47c0b44e78a32
Figure 4/b,SourceData_Figure4_same_author.csv,results/qss_v3/same_author_sensitivity.csv,2,1d691799c4a71f634ff65237e580d61321e72f28,9e2792333261d9fe437c7fc5bfa20c631cc8912b69b22dd7aacf5972d6d37e36
