treatment,arm,bin,bin_left,bin_right,n,density
0,Broad,0,0.0,0.025,0,0.0
0,Broad,1,0.025,0.05,0,0.0
0,Broad,2,0.05,0.075,159451,4.152794263476149
0,Broad,3,0.075,0.1,119386,3.109328232117475
0,Broad,4,0.1,0.125,94947,2.4728308818023716
0,Broad,5,0.125,0.15,79883,2.08049911351616
0,Broad,6,0.15,0.175,68755,1.7906778231889589
0,Broad,7,0.175,0.2,61129,1.5920637721433766
0,Broad,8,0.2,0.225,54151,1.4103264461276315
0,Broad,9,0.225,0.25,49336,1.2849230031975925
0,Broad,10,0.25,0.275,45406,1.1825687912110807
0,Broad,11,0.275,0.3,42254,1.1004770669918735
0,Broad,12,0.3,0.325,39434,1.0270320599175826
0,Broad,13,0.325,0.35,37138,0.96723428110816
0,Broad,14,0.35,0.375,34939,0.9099628021874631
0,Broad,15,0.375,0.4,33194,0.864515448519152
0,Broad,16,0.4,0.425,32009,0.8336529189506999
0,Broad,17,0.425,0.45,30658,0.7984670308097898
0,Broad,18,0.45,0.475,29506,0.7684639640900794
0,Broad,19,0.475,0.5,28939,0.753696829688972
0,Broad,20,0.5,0.525,28131,0.7326530120591753
0,Broad,21,0.525,0.55,26953,0.7019727927919714
0,Broad,22,0.55,0.575,26847,0.6992120939444981
0,Broad,23,0.575,0.6,26288,0.6846533141733887
0,Broad,24,0.6,0.625,26056,0.6786110299034471
0,Broad,25,0.625,0.65,25658,0.6682453870610472
0,Broad,26,0.65,0.675,25808,0.6721520363735095
0,Broad,27,0.675,0.7,25182,0.6558482865761669
0,Broad,28,0.7,0.725,25418,0.6619947481611075
0,Broad,29,0.725,0.75,25831,0.6727510559347538
0,Broad,30,0.75,0.775,25800,0.6719436817435115
0,Broad,31,0.775,0.8,26373,0.6868670821171174
0,Broad,32,0.8,0.825,27165,0.7074941904869182
0,Broad,33,0.825,0.85,27636,0.7197610693280498
0,Broad,34,0.85,0.875,28800,0.750076667992757
0,Broad,35,0.875,0.9,30188,0.786226196297408
0,Broad,36,0.9,0.925,32287,0.84089324234313
0,Broad,37,0.925,0.95,34905,0.9090772950099716
0,Broad,38,0.95,0.975,2,5.208865749949702e-05
0,Broad,39,0.975,1.0,0,0.0
1,Specialized,0,0.0,0.025,0,0.0
1,Specialized,1,0.025,0.05,0,0.0
1,Specialized,2,0.05,0.075,28542,0.4981916943614377
1,Specialized,3,0.075,0.1,26981,0.4709449269695869
1,Specialized,4,0.1,0.125,27151,0.4739122238668417
1,Specialized,5,0.125,0.15,27016,0.4715558410366688
1,Specialized,6,0.15,0.175,27031,0.47181766135113246
1,Specialized,7,0.175,0.2,27153,0.47394713324210347
1,Specialized,8,0.2,0.225,27161,0.47408677074315075
1,Specialized,9,0.225,0.25,27714,0.48373921300304407
1,Specialized,10,0.25,0.275,28166,0.49162873181221545
1,Specialized,11,0.275,0.3,28433,0.49628913340966846
1,Specialized,12,0.3,0.325,29421,0.5135343647890077
1,Specialized,13,0.325,0.35,29397,0.5131154522858659
1,Specialized,14,0.35,0.375,30301,0.5288944899042086
1,Specialized,15,0.375,0.4,31430,0.5486008322395062
1,Specialized,16,0.4,0.425,32261,0.5631056776607926
1,Specialized,17,0.425,0.45,32924,0.574678135560086
1,Specialized,18,0.45,0.475,34500,0.6021867232664004
1,Specialized,19,0.475,0.5,36349,0.6344604406959533
1,Specialized,20,0.5,0.525,37827,0.6602584690144384
1,Specialized,21,0.525,0.55,40496,0.7068450303013376
1,Specialized,22,0.55,0.575,41914,0.7315957773619682
1,Specialized,23,0.575,0.6,43833,0.7650913229256848
1,Specialized,24,0.6,0.625,47351,0.8264969140112268
1,Specialized,25,0.625,0.65,49834,0.8698369033987768
1,Specialized,26,0.65,0.675,53402,0.9321152288658642
1,Specialized,27,0.675,0.7,57914,1.0108707794565308
1,Specialized,28,0.7,0.725,63627,1.1105894098919205
1,Specialized,29,0.725,0.75,69808,1.218476834138576
1,Specialized,30,0.75,0.775,77006,1.3441156757058674
1,Specialized,31,0.775,0.8,86628,1.5120646800904851
1,Specialized,32,0.8,0.825,101271,1.7676536710699025
1,Specialized,33,0.825,0.85,117702,2.0544516435333873
1,Specialized,34,0.85,0.875,140961,2.4604302231407265
1,Specialized,35,0.875,0.9,175454,3.0624947635937105
1,Specialized,36,0.9,0.925,230051,4.015468344178513
1,Specialized,37,0.925,0.95,324638,5.666454883123412
1,Specialized,38,0.95,0.975,0,0.0
1,Specialized,39,0.975,1.0,0,0.0
